project_id,scheme,state,district,latitude,longitude,beneficiary_count,fund_allocated_lakhs,fund_utilized_lakhs,inspection_count,previous_issues,report_delay_days,attendance_rate_pct,previous_risk_score,attendance_records_valid,geotagged_media_count,metadata_match_flag,gps_location_variance_km,flagged_for_audit,risk_score,risk_category
PROJ_DEL_1000,Child Nutrition,Delhi,South Delhi,28.5396,77.1954,935,88.7,80.6,3,0,16,68.01,0.3866,1,5,1,10.09,0,0.1033,Low
PROJ_DEL_1001,Skill Development,Delhi,West Delhi,28.6699,77.0918,3138,38.26,19.32,3,2,11,73.74,0.1096,1,15,1,1.05,0,0.1222,Low
PROJ_DEL_1002,Digital Literacy,Delhi,East Delhi,28.6309,77.2948,907,15.85,12.99,3,0,7,71.33,0.3393,1,12,0,1.33,0,0.1028,Low
PROJ_DEL_1003,Child Nutrition,Delhi,East Delhi,28.6113,77.2697,1656,61.61,37.02,4,1,0,57.68,0.1701,1,19,1,3.27,0,0.134,Low
PROJ_DEL_1004,Digital Literacy,Delhi,Central Delhi,28.6297,77.2158,4773,91.45,79.2,1,1,30,58.4,0.0307,0,8,1,3.93,1,0.8304,Critical
PROJ_DEL_1005,Rural Health Drive,Delhi,South Delhi,28.5698,77.1981,3305,81.57,52.18,3,3,7,68.33,0.5429,1,15,1,7.06,0,0.1382,Low
PROJ_DEL_1006,Rural Health Drive,Delhi,South Delhi,28.5296,77.2468,1744,76.21,78.5,3,2,43,96.62,0.4274,0,15,1,0.61,1,0.8484,Critical
PROJ_DEL_1007,Skill Development,Delhi,East Delhi,28.6153,77.2658,4132,20.94,11.52,2,0,23,45.94,0.2936,1,8,1,7.86,0,0.4275,Medium
PROJ_DEL_1008,Digital Literacy,Delhi,East Delhi,28.6127,77.2877,1578,66.47,50.18,4,0,32,79.84,0.1805,1,17,0,5.7,1,0.9208,Critical
PROJ_DEL_1009,Rural Health Drive,Delhi,East Delhi,28.6266,77.3056,3073,7.74,6.94,1,0,18,78.68,0.3054,1,7,1,1.94,0,0.1023,Low
PROJ_DEL_1010,Digital Literacy,Delhi,Central Delhi,28.6394,77.2357,1918,94.74,68.11,2,0,21,45.97,0.3853,1,11,0,6.39,1,0.8918,Critical
PROJ_DEL_1011,Skill Development,Delhi,South Delhi,28.5387,77.208,3870,89.92,81.98,5,1,28,82.08,0.4676,1,6,1,3.75,0,0.1283,Low
PROJ_DEL_1012,Women Empowerment,Delhi,Central Delhi,28.6072,77.2095,2044,56.87,29.21,4,0,40,92.34,0.2994,1,5,1,4.4,0,0.0967,Low
PROJ_DEL_1013,Child Nutrition,Delhi,North Delhi,28.6789,77.1468,3174,36.65,32.46,3,2,32,73.91,0.4275,1,6,1,2.13,0,0.184,Low
PROJ_DEL_1014,Child Nutrition,Delhi,East Delhi,28.6149,77.2819,2870,69.71,58.6,2,1,38,61.46,0.1049,1,8,1,11.05,1,0.7346,Critical
PROJ_DEL_1015,Digital Literacy,Delhi,North Delhi,28.7053,77.1301,545,48.47,46.67,3,0,12,66.71,0.7105,0,19,1,1.91,0,0.8163,Critical
PROJ_DEL_1016,Women Empowerment,Delhi,West Delhi,28.6647,77.0878,434,58.65,36.72,4,1,9,92.65,0.3858,0,6,1,0.77,1,0.844,Critical
PROJ_DEL_1017,Skill Development,Delhi,South Delhi,28.5213,77.2351,1553,84.98,43.29,1,0,7,46.32,0.2895,0,17,1,4.53,0,0.4456,Medium
PROJ_DEL_1018,Skill Development,Delhi,North Delhi,28.6638,77.1051,1763,92.92,89.77,5,0,8,83.59,0.4682,1,15,1,5.46,0,0.0967,Low
PROJ_DEL_1019,Skill Development,Delhi,South Delhi,28.5473,77.2108,3064,66.82,60.77,1,2,20,61.86,0.2972,1,17,1,8.2,0,0.2382,Low
PROJ_DEL_1020,Skill Development,Delhi,North Delhi,28.6926,77.1137,1326,6.05,5.72,1,2,27,52.29,0.5754,1,18,0,5.0,1,0.9475,Critical
PROJ_DEL_1021,Skill Development,Delhi,South Delhi,28.5273,77.2189,3827,10.64,10.82,5,3,14,71.0,0.516,1,4,0,0.46,0,0.1439,Low
PROJ_DEL_1022,Skill Development,Delhi,North Delhi,28.7095,77.1342,2142,46.13,25.87,5,0,10,63.23,0.2448,1,16,1,7.05,0,0.1058,Low
PROJ_DEL_1023,Digital Literacy,Delhi,East Delhi,28.5913,77.2741,4594,32.45,23.07,5,2,23,55.02,0.6403,1,16,1,9.45,1,0.7345,Critical
PROJ_DEL_1024,Women Empowerment,Delhi,East Delhi,28.6265,77.2645,124,18.92,10.5,1,0,19,62.68,0.5652,1,16,1,10.65,0,0.1329,Low
PROJ_DEL_1025,Skill Development,Delhi,North Delhi,28.706,77.1223,1417,91.46,61.26,4,0,31,67.53,0.0818,1,7,1,7.98,0,0.2142,Low
PROJ_DEL_1026,Women Empowerment,Delhi,East Delhi,28.6415,77.2623,3929,21.0,17.96,4,0,13,57.6,0.4181,1,3,1,1.94,0,0.1104,Low
PROJ_DEL_1027,Digital Literacy,Delhi,North Delhi,28.6867,77.118,4814,41.65,25.54,4,0,28,87.58,0.1732,1,2,1,6.0,0,0.0962,Low
PROJ_DEL_1028,Skill Development,Delhi,South Delhi,28.5107,77.1977,2263,19.0,15.14,3,0,23,93.33,0.4803,1,16,1,11.05,0,0.0967,Low
